PSRJ;RAJ;DECJ;DM;P0;S400;
J1849+2423;18:49:34.6;+24:23:45.9;62.27;0.275641;2.30;
J1921+2003;19:21:51.5;+20:03:20.8;101.00;0.760681;2.30;
J0231+7026;02:31:13.9;+70:26:34;46.68;1.466820;2.40;
J0645+5158;06:45:59.0;+51:58:14.9;18.25;0.008853;2.40;
J0711+0931;07:11:36.1;+09:31:25;46.24;1.214090;2.40;
J1720+2150;17:20:01.3;+21:50:12.8;40.72;1.615664;2.40;
J2027+7502;20:27:23.2;+75:02:29;11.71;0.515219;2.40;
J2227+30;22:27:30;+30:36;19.00;0.842408;2.40;
J2242+6950;22:42:56.4;+69:50:52;40.86;1.664501;2.40;
J2253+1516;22:53:14.5;+15:16:37.8;29.20;0.792236;2.40;
J0815+4611;08:15:59.4;+46:11:53.2;11.27;0.434242;2.50;
J1708-7539;17:08:02.5;-75:39:23;37.00;1.191024;2.50;
J2312+6931;23:12:38.9;+69:31:04;71.60;0.813375;2.50;
J1709+2313;17:09:05.7;+23:13:27.8;25.35;0.004631;2.52;
J1821+4147;18:21:52.3;+41:47:03;40.67;1.261857;2.60;
J1838+1650;18:38:43.0;+16:50:16.0;32.95;1.901967;2.60;
J1841-0425;18:41:05.6;-04:25:19.5;325.49;0.186149;2.60;
J2234+2114;22:34:56.6;+21:14:18.8;35.08;1.358745;2.60;
J0546+2441;05:46:28.7;+24:41:21;73.81;2.843850;2.65;
J1404+1159;14:04:36.9;+11:59:16.0;18.50;2.650439;2.70;
J2008+2513;20:08:35.4;+25:13:30.3;60.56;0.589196;2.70;
J2156+2618;21:56:23.7;+26:18:30.4;48.44;0.498149;2.70;
J1848+0826;18:48:43.7;+08:26:35.9;90.68;0.328665;2.80;
J1906+0641;19:06:35.2;+06:41:03;472.80;0.267275;2.80;
J1942+1743;19:42:01.0;+17:43:28.3;190.00;0.696262;2.80;
J1954+4357;19:54:38.4;+43:57:37;130.30;1.387041;2.80;
J0750+57;07:50;+57:00;27.00;1.174875;2.90;
J1738-3211;17:38:54.1;-32:11:54;49.59;0.768499;2.90;
J0051+0423;00:51:30.1;+04:22:49;13.90;0.354732;3.00;
J0056+4756;00:56:25.5;+47:56:11;18.14;0.472037;3.00;
J1236-0159;12:36:02.5;-01:59:10;19.08;3.597574;3.00;
J1641+3627A;16:41:40.8;+36:27:15.4;30.36;0.010378;3.00;
J1741+2758;17:41:53.5;+27:58:09.0;29.14;1.360738;3.00;
J1749-5605;17:49:44.5;-56:05:19;58.00;1.332310;3.00;
J1917+2224;19:17:44.2;+22:22:49;134.75;0.425897;3.00;
J1939+2449;19:39:05.5;+24:42:56;142.88;0.645302;3.00;
J1946+2244;19:46:24.8;+22:44:59.4;140.00;1.334450;3.00;
J2033+1734;20:33:27.5;+17:34:58.4;25.08;0.005949;3.00;
J2235+1506;22:35:43.7;+15:06:49.0;18.09;0.059767;3.00;
J1615-2940;16:15:52.8;-29:40:16;44.79;2.477568;3.10;
J1740+1000;17:40:25.9;+10:00:06.3;23.90;0.154087;3.10;
J1743-0339;17:43:08.1;-03:39:11;30.26;0.444645;3.10;
J1804-0735;18:04:49.8;-07:35:25;186.32;0.023101;3.10;
J1922+58;19:22;+58:28;53.00;0.529623;3.10;
J1934+5219;19:34:23.8;+52:19:58;71.90;0.568442;3.10;
J2038+5319;20:38:03.1;+53:19:13;160.20;1.424568;3.10;
J1628+4406;16:28:50.3;+44:06:42.6;7.33;0.181178;3.20;
J1921+1419;19:21:24.1;+14:19:17;91.64;0.618183;3.20;
J1938+0650;19:37:53.4;+06:50:06.0;70.80;1.121562;3.20;
J2241+6941;22:41:20.3;+69:41:60;67.67;0.855401;3.20;
J0137+6349;01:37:13.3;+63:49:34;285.50;0.717963;3.30;
J1647+6608;16:47:32.5;+66:08:22;22.55;1.599798;3.30;
J1859+7654;18:59:36.0;+76:54:56;47.25;1.393729;3.30;
J2016+1948;20:16:57.4;+19:47:51.5;33.81;0.064940;3.30;
J0055+5117;00:55:45.3;+51:17:24.6;44.01;2.115171;3.40;
J0125+62;01:26;+62:35;118.00;1.708233;3.40;
J0509+3801;05:09:31.7;+38:01:18.1;69.08;0.076541;3.40;
J1803-2712;18:03:31.6;-27:12:06;165.50;0.334415;3.40;
J1832-1021;18:32:40.8;-10:21:33;475.70;0.330354;3.40;
J1856+0113;18:56:10.6;+01:13:21;96.74;0.267440;3.40;
J1927+1852;19:27:10.4;+18:52:08.5;254.00;0.482766;3.40;
J2123+5434;21:23:21.6;+54:34:07.7;31.76;0.138868;3.40;
J2228+6447;22:28:40.5;+64:47:19;193.60;1.892982;3.40;
J1016-5345;10:16:31.2;-53:45:13.8;66.80;0.769584;3.50;
J1240-4124;12:40:17.6;-41:24:51.7;44.10;0.512242;3.50;
J1313+0931;13:13:23.0;+09:31:56;12.04;0.848933;3.50;
J1752+2359;17:52:35.4;+23:59:48.2;36.20;0.409051;3.50;
J1908+0734;19:08:17.0;+07:34:14.3;11.10;0.212353;3.50;
J2045+0912;20:45:47.3;+09:12:29.1;31.78;0.395555;3.50;
J0038-2501;00:38:10.2;-25:01:30.7;5.71;0.256926;3.70;
J0108+6905;01:08:29.5;+69:05:53;61.06;1.071118;3.70;
J0343+5312;03:43:12.9;+53:12:53;67.30;1.934478;3.70;
J0815+0939;08:15:08.7;+09:39:50.7;52.66;0.645161;3.70;
J1821+1715;18:21:13.5;+17:15:47.0;60.28;1.366682;3.70;
J1949+3426;19:49:13.6;+34:26:33.8;228.00;0.388539;3.70;
J2215+1538;22:15:39.6;+15:38:34.8;29.24;0.374196;3.70;
J2217+5733;22:17:55.0;+57:33:04.0;130.67;1.056844;3.70;
J0518+5416;05:18:53.1;+54:16:50;42.33;0.340203;3.80;
J1812+0226;18:12:53.1;+02:26:57;104.14;0.793903;3.80;
J1822+0705;18:22:18.4;+07:05:19;62.20;1.362817;3.80;
J1922+2018;19:22:08.0;+20:17:57;203.31;1.172763;3.80;
J2208+4056;22:08:01.9;+40:56:02;11.84;0.636957;3.80;
J1901+0716;19:01:38.9;+07:16:35;252.81;0.643999;3.90;
J1944+0907;19:44:09.3;+09:07:23.0;24.36;0.005185;3.90;
J0156+3949;01:56:55.2;+39:49:29;59.83;1.811561;4.00;
